avg_velo_ratio,avg_vert,avg_horz,avg_eff
98.48874,16.47387755,3.8661224,0.5963551
90.91746,7.19006211,14.5399586,0.6639524
83.21253,-8.81298701,-12.6090909,0.4393636
91.97179,5.4296,-3.0224,0.15696
98.07428,12.56325224,13.9629962,0.7881204
98.19282,3.34492512,16.1467554,0.6745907
88.11002,-0.03793103,-7.25,0.1944828
89.46046,10.5813253,12.5572289,0.7271084
88.71261,0.78217054,-2.9183463,0.1023101
98.30901,15.16280374,10.6551402,0.6790822
94.92411,9.71666667,-0.7616667,0.2472667
86.59264,0.53884712,-13.2516291,0.3785489
98.20086,8.85917927,15.7194384,0.7594687
98.49036,16.79695291,7.7282548,0.6993795
83.86852,-6.47717391,-5.1786232,0.2549819
90.80625,2.73302752,14.1394495,0.7327156
81.76109,-13.85384615,-8.0538462,0.6008462
